0,10,10
---
0,3,0,1
1,8,0,1
1,4,1,2
1,1,2,3
2,5,0,3
3,0,0,1
4,7,0,2
5,9,0,4
7,2,0,2
9,6,0,3
---
0.047600,4

1,10,10
---
0,1,0,4
1,4,0,1
2,0,0,1
2,7,1,2
3,6,0,1
4,5,0,1
5,2,0,1
5,9,1,2
6,8,0,3
7,3,0,4
---
0.032583,4

2,10,10
---
0,9,0,1
0,2,1,3
1,8,0,2
2,5,0,2
2,4,2,3
4,0,0,2
5,1,0,2
6,7,0,1
7,3,0,2
8,6,0,2
---
0.032132,3

3,10,10
---
0,6,0,1
0,5,1,2
1,3,0,2
3,7,0,1
3,1,1,2
5,0,0,1
6,4,0,2
7,9,0,1
8,2,0,1
9,8,0,1
---
0.020320,2

4,10,10
---
0,1,0,3
1,8,0,1
2,5,0,2
3,9,0,1
5,6,0,2
6,3,0,1
7,2,0,1
8,0,0,1
8,7,1,2
9,4,0,3
---
0.028448,3

5,10,10
---
1,7,0,3
2,0,0,4
4,8,0,4
5,6,0,1
5,4,1,2
5,1,2,3
7,2,0,1
7,5,1,2
8,9,0,1
8,3,1,3
---
0.035805,4

6,10,10
---
0,9,0,1
1,1,0,3
3,6,0,2
3,4,2,3
5,3,0,2
6,7,0,2
6,0,2,3
7,5,0,2
8,8,0,2
9,2,0,1
---
0.036618,3

7,10,10
---
0,8,0,1
0,3,1,2
1,9,0,2
2,4,0,1
3,0,0,2
4,5,0,1
5,7,0,1
6,6,0,1
7,1,0,1
8,2,0,1
---
0.020274,2

8,10,10
---
1,4,0,2
2,2,0,2
3,3,0,1
3,0,1,3
5,7,0,4
6,5,0,1
7,9,0,2
8,8,0,2
9,6,0,1
9,1,1,2
---
0.041717,4

9,10,10
---
2,8,0,1
2,9,1,2
3,1,0,1
4,7,0,1
4,2,1,2
5,5,0,1
6,0,0,1
7,3,0,1
8,4,0,2
9,6,0,2
---
0.019604,2

10,10,10
---
0,1,0,1
1,5,0,3
2,4,0,1
3,3,0,3
4,9,0,2
5,2,0,3
6,7,0,1
7,6,0,3
8,8,0,3
9,0,0,2
---
0.033843,3

11,10,10
---
0,2,0,2
1,9,0,2
2,0,0,1
4,3,0,3
