0,10,10
---
0,3,0,1
1,8,2,3
1,4,0,1
1,1,1,2
3,6,1,4
3,0,0,1
4,7,0,2
7,9,2,4
7,2,0,2
9,5,0,2
---
0.016062021255493164,4

1,10,10
---
0,1,0,4
1,6,0,1
1,4,1,2
2,0,0,1
4,5,0,1
5,9,0,1
5,2,1,2
9,8,2,3
9,7,0,1
9,3,1,2
---
0.011527538299560547,4

2,10,10
---
0,9,0,1
1,8,0,2
2,5,1,3
2,4,0,1
4,2,0,1
4,0,1,3
7,3,1,3
7,1,0,1
8,7,0,1
8,6,1,3
---
0.008852481842041016,3

3,10,10
---
0,6,0,1
0,5,1,2
1,3,0,2
3,7,0,1
5,0,0,1
6,4,0,2
7,9,0,1
8,2,0,1
9,8,1,2
9,1,0,1
---
0.009702444076538086,2

4,10,10
---
0,1,0,3
1,8,0,1
2,5,0,2
3,9,0,1
3,0,1,2
6,6,1,2
6,3,0,1
7,2,0,1
8,7,0,1
9,4,0,3
---
0.010769367218017578,3

5,10,10
---
2,0,0,4
4,8,0,4
5,7,0,1
5,6,1,2
5,4,3,4
5,1,2,3
7,5,0,1
7,2,1,2
8,9,0,1
8,3,1,3
---
0.009674310684204102,4

6,10,10
---
0,9,0,1
0,6,1,2
1,1,0,3
3,4,0,1
4,3,0,1
5,2,0,1
6,7,1,3
6,0,0,1
7,5,0,2
8,8,0,2
---
0.008698225021362305,3

7,10,10
---
0,5,0,2
1,9,0,2
2,4,0,1
2,3,1,2
3,0,0,2
4,8,0,2
5,6,0,1
6,7,0,2
7,1,0,1
8,2,0,1
---
0.00963139533996582,2

8,10,10
---
2,2,0,2
3,3,0,1
3,0,1,3
5,7,0,4
6,5,1,2
6,1,0,1
7,9,2,4
7,4,0,2
8,8,0,2
9,6,0,1
---
0.010645866394042969,4

9,10,10
---
1,2,0,1
2,9,0,1
2,8,1,2
3,1,0,1
4,7,0,1
5,5,0,1
6,0,0,1
7,3,0,1
8,4,0,2
9,6,0,2
---
0.010454416275024414,2

10,10,10
---
0,1,0,1
1,5,0,3
2,4,0,1
3,0,0,3
5,9,0,2
6,7,2,3
6,6,0,1
6,3,1,2
8,2,0,1
9,8,0,3
---
0.008618354797363281,3

11,10,10
---
0,2,0,2
2,0,0,1
4,3,0,3
5,5,0,3
6,7,0,1
7,6,0,3
8,9,1,2
8,4,0,1
9,8,1,2
9,1,0,1
---
0.009112834930419922,3

12,10,10
---
0,5,0,1
1,1,0,1
3,0,0,8
6,6,0,1
7,8,0,1
7,7,1,3
8,2,0,2
9,9,0,1
9,4,1,4
9,3,4,8
---
0.008432626724243164,8

13,10,10
---
0,9,0,5
1,1,0,5
2,0,0,3
3,3,0,5
4,6,0,2
5,5,0,2
5,4,2,3
6,8,0,5
7,2,0,5
8,7,0,5
---
0.009716272354125977,5

14,10,10
---
0,9,0,1
0,2,1,2
1,3,0,1
3,8,0,2
6,6,0,4
7,5,1,3
7,4,0,1
8,7,0,1
8,1,2,3
8,0,1,2
---
0.00920724868774414,4

15,10,10
---
0,1,0,1
1,6,0,1
2,4,0,1
2,3,1,3
4,9,0,4
6,8,1,3
6,7,0,1
7,2,0,1
7,0,1,3
8,5,0,1
---
0.009016752243041992,4

16,10,10
---
0,8,0,3
0,2,3,4
1,9,0,4
2,5,0,2
3,6,0,3
4,1,0,3
5,4,0,4
6,0,0,3
7,3,0,1
9,7,0,3
---
0.008632659912109375,4

17,10,10
---
0,1,0,1
1,7,0,1
2,0,0,1
3,3,0,1
6,6,1,2
6,2,0,1
7,9,0,2
8,5,0,1
8,4,1,2
9,8,0,1
---
0.008816242218017578,2

18,10,10
---
0,9,0,1
0,0,1,2
1,2,0,2
4,8,0,1
